municipio_id,nome,tipo,endereco,latitude,longitude,codigo_inep
2305357,PROFESSOR FRANCISCO EZEQUIEL DA COSTA EEF,Municipal,"NOVA BELEM, SN 62810-000 Icapuí - CE.",,,23125250
2305357,PROFESSORA CARLOTA TAVARES DE HOLANDA EEF,Municipal,"RUA CORONEL RICARDO HOLANDA, SN 62810-000 Icapuí - CE.",,,23125268
2305357,FRANCISCA EMILIA MAIA E E F,Municipal,"BERIMBAU, 62810-000 Icapuí - CE.",,,23125306
2305357,EEMTI PROFESSOR GABRIEL EPIFANIO DOS REIS,Estadual,"RUA FILIZOLINA FREITAS, SN CAJUAIS. 62810-000 Icapuí - CE.",-4.7006615,-37.3625509,23125314
2305357,DO GRAVIE CEI,Municipal,"GRAVIE, GRAVIE. 62810-000 Icapuí - CE.",,,23125322
2305357,PROFESSORA MARIA EDILCE BARBOSA EEF,Municipal,"RUA JOAQUIM MARQUES, SN MELANCIAS DE BAIXO. 62810-000 Icapuí - CE.",-4.761996,-37.28895,23125349
2305357,MARIA HELENA REBOUCAS MARQUES CEI,Municipal,"RUA ALDENORA HOLANDA, SN MANIBU. 62810-000 Icapuí - CE.",,,23125357
2305357,PROFESSORA RAIMUNDA LACERDA DAMIAO EEF,Municipal,"AVENIDA ESAU LACERDA, 2121 MUTAMBA. 62810-000 Icapuí - CE.",-4.694965,-37.37746,23125381
2305357,PROFESSORA MIZINHA EEF,Municipal,"AVENIDA 22 DE JANEIRO, MORRO ALTO. 62810-000 Icapuí - CE.",,,23125403
2305357,JOSE ANTERO REBOUCAS CEI,Municipal,"MORRO PINTADO, SN MORRO PINTADO. 62810-000 Icapuí - CE.",-4.747395,-37.3037,23125411
